"﻿鄉鎮市區","村里","納稅單位(戶)","綜合所得總額","平均數","中位數","第一分位數","第三分位數","標準差","變異係數"
"新北市新莊區","海山里","1698","1047160","617","384","168","799","706.37","114.54"
"新北市新莊區","全安里","1376","971818","706","430","205","870","883.17","125.05"
"新北市新莊區","文衡里","701","537031","766","471","222","1002","837.36","109.30"
"新北市新莊區","興漢里","1054","734313","697","435","215","854","876.82","125.85"
"新北市新莊區","榮和里","959","668913","698","437","206","816","901.44","129.24"
"新北市新莊區","文德里","549","421567","768","493","208","908","1098.38","143.04"
"新北市新莊區","文明里","550","397752","723","398","180","869","1019.14","140.92"
"新北市新莊區","中港里","2018","1350962","669","426","204","819","801.33","119.70"
"新北市新莊區","頭前里","3201","3485654","1089","597","262","1320","1924.59","176.74"
"新北市新莊區","丹鳳里","2722","1693497","622","419","201","795","859.27","138.11"
"新北市新莊區","西盛里","4052","2711401","669","457","230","866","736.96","110.13"
"新北市新莊區","瓊林里","1625","936186","576","384","189","688","663.77","115.22"
"新北市新莊區","營盤里","764","469041","614","389","197","808","681.82","111.06"
"新北市新莊區","後港里","2290","1341756","586","381","192","718","718.55","122.64"
"新北市新莊區","國泰里","488","275593","565","373","158","669","759.84","134.55"
"新北市新莊區","立人里","690","637351","924","514","231","1168","1282.89","138.89"
"新北市新莊區","恆安里","1362","943452","693","437","211","860","888.88","128.32"
"新北市新莊區","思源里","1658","1042443","629","392","196","794","800.54","127.33"
"新北市新莊區","化成里","1336","1001238","749","439","206","924","974.65","130.05"
"新北市新莊區","福基里","1810","1809004","999","557","245","1183","1401.04","140.18"
"新北市新莊區","思賢里","1303","867358","666","409","194","821","853.79","128.26"
"新北市新莊區","中美里","1712","1129337","660","440","210","823","727.82","110.33"
"新北市新莊區","中和里","1359","835594","615","374","185","732","858.48","139.62"
"新北市新莊區","中泰里","1277","674645","528","355","167","687","570.13","107.92"
"新北市新莊區","立言里","1649","1073225","651","415","203","814","727.61","111.80"
"新北市新莊區","立功里","984","522763","531","373","175","668","612.86","115.36"
"新北市新莊區","立德里","856","635465","742","453","207","951","961.50","129.52"
"新北市新莊區","豐年里","1142","618504","542","350","190","647","625.69","115.53"
"新北市新莊區","忠孝里","1532","990973","647","400","187","806","799.58","123.61"
"新北市新莊區","立志里","1140","684883","601","391","203","727","715.77","119.14"
"新北市新莊區","中誠里","621","370156","596","395","195","695","701.92","117.76"
"新北市新莊區","自立里","1482","866177","584","370","177","729","675.84","115.63"
"新北市新莊區","自強里","644","290041","450","323","156","579","464.50","103.14"
"新北市新莊區","幸福里","1210","618074","511","346","179","645","605.93","118.62"
"新北市新莊區","仁愛里","726","351329","484","348","180","593","518.71","107.19"
"新北市新莊區","信義里","1617","978752","605","379","196","757","731.21","120.80"
"新北市新莊區","龍鳳里","3278","2577394","786","524","250","1044","842.83","107.19"
"新北市新莊區","民安里","1847","1086238","588","396","196","729","653.39","111.10"
"新北市新莊區","光華里","2101","1181949","563","381","189","692","673.57","119.73"
"新北市新莊區","富國里","699","346212","495","358","184","644","510.74","103.12"
"新北市新莊區","裕民里","1897","1076580","568","360","183","680","736.03","129.69"
"新北市新莊區","南港里","1639","891767","544","361","193","659","610.39","112.18"
"新北市新莊區","萬安里","1159","569309","491","348","170","634","514.04","104.65"
"新北市新莊區","八德里","890","466526","524","357","204","653","638.56","121.82"
"新北市新莊區","民本里","801","358124","447","349","171","582","463.39","103.65"
"新北市新莊區","光榮里","1246","702117","563","387","196","713","647.57","114.92"
"新北市新莊區","光明里","1430","812690","568","378","197","715","634.51","111.65"
"新北市新莊區","合鳳里","1250","619015","495","345","177","625","533.17","107.66"
"新北市新莊區","雙鳳里","3667","2803470","765","496","237","984","908.68","118.86"
"新北市新莊區","和平里","1522","826840","543","379","191","707","553.26","101.84"
"新北市新莊區","自信里","743","474236","638","371","190","754","1045.60","163.82"
"新北市新莊區","全泰里","1667","1273607","764","475","228","950","870.27","113.91"
"新北市新莊區","立泰里","1559","1042659","669","433","206","888","754.25","112.78"
"新北市新莊區","立基里","2044","1546516","757","448","222","952","956.38","126.40"
"新北市新莊區","中宏里","1174","699147","596","399","204","759","658.39","110.56"
"新北市新莊區","中全里","1011","515834","510","356","166","644","563.72","110.49"
"新北市新莊區","中華里","923","781451","847","503","225","1067","1159.23","136.92"
"新北市新莊區","中隆里","1558","1188302","763","467","213","978","952.31","124.86"
"新北市新莊區","中原里","4032","3481573","863","495","225","1085","1121.03","129.83"
"新北市新莊區","中信里","2635","1793735","681","454","219","874","734.08","107.84"
"新北市新莊區","仁義里","1040","538855","518","349","174","661","575.27","111.03"
"新北市新莊區","建福里","836","420416","503","358","194","670","534.23","106.23"
"新北市新莊區","四維里","1255","632643","504","349","171","639","579.18","114.90"
"新北市新莊區","文聖里","1168","904209","774","498","226","981","922.07","119.11"
"新北市新莊區","福營里","880","535182","608","379","199","704","813.84","133.82"
"新北市新莊區","後德里","1062","706079","665","442","214","810","853.09","128.31"
"新北市新莊區","建安里","2164","1334763","617","399","192","809","687.32","111.43"
"新北市新莊區","龍安里","654","340377","520","349","171","608","706.77","135.80"
"新北市新莊區","昌平里","2701","2734147","1012","604","272","1262","1320.47","130.45"
"新北市新莊區","昌明里","1116","697453","625","374","189","780","757.83","121.26"
"新北市新莊區","成德里","1501","803116","535","377","188","670","582.51","108.87"
"新北市新莊區","福興里","1871","1201179","642","394","191","782","779.67","121.44"
"新北市新莊區","昌信里","1222","912629","747","485","219","1017","808.91","108.31"
"新北市新莊區","昌隆里","1454","1029818","708","459","213","904","813.18","114.81"
"新北市新莊區","中平里","2847","2309917","811","515","242","1057","993.73","122.48"
"新北市新莊區","立廷里","3909","3653568","935","616","270","1228","1128.82","120.77"
"新北市新莊區","泰豐里","735","445746","606","388","193","748","736.52","121.45"
"新北市新莊區","富民里","1202","634990","528","386","194","685","515.02","97.49"
"新北市新莊區","龍福里","694","391208","564","387","199","750","565.66","100.35"
"新北市新莊區","祥鳳里","729","392393","538","392","180","672","574.98","106.82"
"新北市新莊區","民全里","1200","699621","583","396","197","702","684.24","117.36"
"新北市新莊區","民有里","1243","699748","563","386","185","730","617.36","109.67"
"新北市新莊區","光正里","1325","769873","581","390","191","737","717.49","123.49"
"新北市新莊區","光和里","765","359754","470","364","173","590","526.68","112.00"
"新北市新莊區","其他","6","7975","1329","792","214","1769","1615.14","121.51"
"新北市新莊區","合計","124508","84254359","677","422","204","835","880.75","130.15"
"新北市林口區","東林里","1218","660707","542","368","199","613","763.50","140.75"
"新北市林口區","林口里","1614","996605","617","376","187","751","796.31","128.96"
"新北市林口區","西林里","3304","3045576","922","511","235","1110","1339.34","145.30"
"新北市林口區","湖北里","441","277488","629","382","201","792","781.12","124.14"
"新北市林口區","菁湖里","1405","1206406","859","494","212","1043","1158.09","134.87"
"新北市林口區","湖南里","7983","8750835","1096","699","320","1411","1530.86","139.65"
"新北市林口區","南勢里","8014","10366912","1294","814","339","1651","2523.33","195.06"
"新北市林口區","頂福里","290","152760","527","349","193","666","577.83","109.70"
"新北市林口區","下福里","385","212489","552","368","209","677","725.92","131.53"
"新北市林口區","嘉寶里","256","124335","486","334","180","591","569.30","117.22"
"新北市林口區","瑞平里","211","108728","515","340","188","591","680.39","132.04"
"新北市林口區","太平里","431","228299","530","348","193","632","603.33","113.90"
"新北市林口區","中湖里","1368","1033700","756","497","243","970","917.64","121.44"
"新北市林口區","東勢里","2184","1644538","753","445","211","895","999.14","132.69"
"新北市林口區","仁愛里","2350","2529409","1076","616","276","1370","1517.22","140.96"
"新北市林口區","麗林里","2846","2845050","1000","590","260","1270","1220.94","122.13"
"新北市林口區","麗園里","1322","1052483","796","425","207","871","1429.84","179.60"
"新北市林口區","其他","1","1906","1906","1906","1906","1906","0.00","0.00"
"新北市林口區","合計","35623","35238226","989","574","257","1231","1657.37","167.55"
"新北市五股區","興珍里","1559","936755","601","361","174","726","1017.67","169.37"
"新北市五股區","更寮里","310","175175","565","403","185","658","673.43","119.17"
"新北市五股區","集福里","1063","548121","516","383","183","665","517.65","100.39"
"新北市五股區","觀音里","292","154892","530","377","199","695","508.34","95.83"
"新北市五股區","成州里","1578","817774","518","350","167","648","645.31","124.52"
"新北市五股區","五股里","1141","664963","583","355","174","669","787.92","135.20"
"新北市五股區","五龍里","345","184179","534","344","183","597","732.62","137.23"
"新北市五股區","德音里","1630","1185645","727","411","210","853","1217.73","167.41"
"新北市五股區","貿商里","847","534517","631","422","211","764","729.59","115.61"
"新北市五股區","陸一里","645","383157","594","370","174","743","754.02","126.93"
"新北市五股區","成功里","2005","1092711","545","396","196","714","548.37","100.62"
"新北市五股區","五福里","1025","489596","478","335","170","577","589.42","123.40"
"新北市五股區","成德里","909","492509","542","379","196","676","649.57","119.89"
"新北市五股區","德泰里","1345","871667","648","390","184","733","2251.36","347.39"
"新北市五股區","六福里","1130","591151","523","359","182","638","586.13","112.04"
"新北市五股區","集賢里","1106","522246","472","360","206","619","422.09","89.39"
"新北市五股區","民義里","1037","600271","579","381","207","724","676.11","116.80"
"新北市五股區","成泰里","3272","2228084","681","463","221","901","776.92","114.09"
"新北市五股區","水碓里","2370","1400048","591","388","192","736","735.20","124.45"
"新北市五股區","福德里","1001","579335","579","398","186","777","637.51","110.15"
"新北市五股區","其他","1","625","625","625","625","625","0.00","0.00"
"新北市五股區","合計","24611","14453421","587","388","191","725","898.96","153.07"
"新北市蘆洲區","樓厝里","1976","1288607","652","418","205","813","744.18","114.12"
"新北市蘆洲區","保和里","719","417776","581","393","184","739","612.85","105.47"
"新北市蘆洲區","得勝里","915","497992","544","364","186","678","659.74","121.22"
"新北市蘆洲區","仁復里","573","378875","661","388","167","775","1034.12","156.40"
"新北市蘆洲區","溪墘里","895","494231","552","367","181","700","696.75","126.17"
"新北市蘆洲區","中路里","1198","668028","558","376","198","705","620.34","111.25"
"新北市蘆洲區","正義里","4429","4378923","989","630","282","1316","1249.77","126.41"
"新北市蘆洲區","水湳里","3192","2138226","670","430","207","853","754.95","112.70"
