"鄉鎮市區","村里","納稅單位(戶)","綜合所得總額","平均數","中位數","第一分位數","第三分位數","標準差","變異係數"
"新北市新莊區","海山里","1695","1039947","614","387","176","757","709.87","115.70"
"新北市新莊區","全安里","1401","943186","673","422","196","812","836.17","124.20"
"新北市新莊區","文衡里","699","536691","768","477","223","953","909.65","118.48"
"新北市新莊區","興漢里","1060","732585","691","443","226","867","875.27","126.65"
"新北市新莊區","榮和里","1069","803274","751","430","203","872","1272.32","169.32"
"新北市新莊區","文德里","548","435992","796","470","217","957","1500.57","188.61"
"新北市新莊區","文明里","550","407577","741","423","199","899","1080.64","145.83"
"新北市新莊區","中港里","2022","1343091","664","432","199","793","814.67","122.65"
"新北市新莊區","頭前里","3629","3918936","1080","621","269","1359","1349.09","124.93"
"新北市新莊區","丹鳳里","2722","1714195","630","433","204","817","693.80","110.17"
"新北市新莊區","西盛里","4226","2844720","673","454","223","873","753.26","111.90"
"新北市新莊區","瓊林里","1628","925871","569","384","197","679","638.65","112.30"
"新北市新莊區","營盤里","739","455668","617","394","194","788","763.16","123.77"
"新北市新莊區","後港里","2352","1377023","585","382","196","725","743.69","127.02"
"新北市新莊區","國泰里","493","267403","542","360","165","688","654.37","120.64"
"新北市新莊區","立人里","671","638599","952","534","244","1208","1312.92","137.95"
"新北市新莊區","恆安里","1376","933848","679","426","201","840","771.18","113.63"
"新北市新莊區","思源里","1685","1043991","620","406","197","789","730.31","117.87"
"新北市新莊區","化成里","1394","1079516","774","434","202","930","1053.44","136.03"
"新北市新莊區","福基里","2018","2007840","995","573","264","1248","1258.58","126.49"
"新北市新莊區","思賢里","1306","862246","660","408","196","825","814.43","123.36"
"新北市新莊區","中美里","1783","1183438","664","428","203","836","765.41","115.32"
"新北市新莊區","中和里","1359","895829","659","394","190","777","1057.31","160.40"
"新北市新莊區","中泰里","1273","695040","546","373","188","691","586.02","107.33"
"新北市新莊區","立言里","1629","1037321","637","395","192","782","746.44","117.22"
"新北市新莊區","立功里","977","530667","543","363","187","680","622.33","114.58"
"新北市新莊區","立德里","838","622297","743","445","215","985","964.14","129.83"
"新北市新莊區","豐年里","1091","602378","552","370","189","691","628.15","113.77"
"新北市新莊區","忠孝里","1742","1231374","707","433","212","874","855.89","121.08"
"新北市新莊區","立志里","1154","675905","586","397","205","713","678.59","115.86"
"新北市新莊區","中誠里","620","388234","626","410","192","751","735.12","117.40"
"新北市新莊區","自立里","1511","886716","587","374","190","725","690.18","117.61"
"新北市新莊區","自強里","646","303808","470","328","161","619","539.28","114.67"
"新北市新莊區","幸福里","1218","615402","505","345","168","638","550.84","109.02"
"新北市新莊區","仁愛里","719","359705","500","357","178","618","541.75","108.29"
"新北市新莊區","信義里","1604","966854","603","389","196","779","668.56","110.91"
"新北市新莊區","龍鳳里","3489","2804141","804","531","248","1079","957.95","119.19"
"新北市新莊區","民安里","1829","1092251","597","394","199","753","675.32","113.08"
"新北市新莊區","光華里","2078","1175708","566","388","195","718","624.67","110.41"
"新北市新莊區","富國里","694","358563","517","380","197","657","542.77","105.05"
"新北市新莊區","裕民里","1922","1106646","576","361","182","693","829.56","144.08"
"新北市新莊區","南港里","1643","940207","572","383","203","677","717.60","125.40"
"新北市新莊區","萬安里","1141","587095","515","358","189","643","588.88","114.45"
"新北市新莊區","八德里","885","459141","519","339","178","637","640.40","123.44"
"新北市新莊區","民本里","819","377040","460","351","181","599","448.16","97.35"
"新北市新莊區","光榮里","1249","707802","567","383","196","736","641.23","113.15"
"新北市新莊區","光明里","1444","840668","582","391","208","738","616.80","105.95"
"新北市新莊區","合鳳里","1283","622980","486","332","169","608","568.59","117.10"
"新北市新莊區","雙鳳里","3756","3015924","803","521","246","1041","946.73","117.91"
"新北市新莊區","和平里","1513","844514","558","383","184","728","591.69","106.00"
"新北市新莊區","自信里","735","475095","646","389","200","773","942.79","145.85"
"新北市新莊區","全泰里","1653","1280184","774","483","230","967","1000.29","129.16"
"新北市新莊區","立泰里","1577","1041980","661","415","200","861","748.11","113.22"
"新北市新莊區","立基里","2007","1549496","772","481","226","954","985.73","127.68"
"新北市新莊區","中宏里","1185","731982","618","417","204","795","679.04","109.93"
"新北市新莊區","中全里","1031","530686","515","364","192","665","528.71","102.72"
"新北市新莊區","中華里","926","730588","789","500","226","1009","893.07","113.19"
"新北市新莊區","中隆里","1611","1268035","787","460","217","986","1007.64","128.02"
"新北市新莊區","中原里","4416","3971444","899","512","229","1111","1203.20","133.79"
"新北市新莊區","中信里","2710","1845025","681","450","213","875","749.83","110.14"
"新北市新莊區","仁義里","1024","533243","521","335","173","654","606.33","116.43"
"新北市新莊區","建福里","852","419070","492","354","180","665","530.02","107.76"
"新北市新莊區","四維里","1275","633084","497","354","175","616","529.22","106.58"
"新北市新莊區","文聖里","1176","926955","788","500","230","976","976.13","123.84"
"新北市新莊區","福營里","890","542828","610","373","187","711","826.47","135.51"
