"﻿縣市別","村里","納稅單位(戶)","綜合所得總額","平均數","中位數","第一分位數","第三分位數","標準差","變異係數"
"新北市新莊區","海山里","1729","1318321","762","455","222","921","908.21","119.11"
"新北市新莊區","全安里","1365","1175678","861","502","249","1016","1229.10","142.70"
"新北市新莊區","文衡里","714","642533","900","539","258","1138","1062.47","118.06"
"新北市新莊區","興漢里","1049","819490","781","502","235","953","1012.90","129.66"
"新北市新莊區","榮和里","1145","1126787","984","546","253","1145","1405.09","142.78"
"新北市新莊區","文德里","580","496420","856","528","245","1108","1102.05","128.76"
"新北市新莊區","文明里","542","470478","868","475","225","985","1479.43","170.43"
"新北市新莊區","中港里","1975","1528084","774","511","251","955","899.64","116.28"
"新北市新莊區","頭前里","4161","5773120","1387","795","340","1728","1790.75","129.07"
"新北市新莊區","丹鳳里","2794","2041050","731","489","242","908","841.22","115.15"
"新北市新莊區","西盛里","4632","3678817","794","522","257","1020","940.98","118.48"
"新北市新莊區","瓊林里","1414","1005584","711","445","224","815","1302.12","183.10"
"新北市新莊區","營盤里","607","394708","650","439","215","842","701.20","107.83"
"新北市新莊區","後港里","2403","1581819","658","440","222","818","773.66","117.53"
"新北市新莊區","國泰里","441","297285","674","443","211","810","826.50","122.60"
"新北市新莊區","立人里","694","734193","1058","588","253","1279","1518.87","143.57"
"新北市新莊區","恆安里","1363","1113678","817","513","243","1039","1064.99","130.34"
"新北市新莊區","思源里","1674","1191694","712","469","222","907","788.44","110.75"
"新北市新莊區","化成里","1397","1346785","964","505","232","1160","1340.08","139.01"
"新北市新莊區","福基里","2134","2637430","1236","726","327","1555","1582.75","128.06"
"新北市新莊區","思賢里","1328","1021870","769","482","242","917","921.98","119.82"
"新北市新莊區","中美里","1882","1478056","785","497","236","974","954.85","121.58"
"新北市新莊區","中和里","1410","1072508","761","436","216","870","1180.72","155.23"
"新北市新莊區","中泰里","1259","773449","614","424","207","776","649.54","105.73"
"新北市新莊區","立言里","1618","1179199","729","461","229","881","872.03","119.65"
"新北市新莊區","立功里","1022","613668","600","390","207","754","718.17","119.60"
"新北市新莊區","立德里","825","690314","837","522","245","1091","1014.53","121.25"
"新北市新莊區","豐年里","1105","675475","611","392","204","769","708.61","115.92"
"新北市新莊區","忠孝里","1808","1574700","871","537","259","1066","1063.62","122.12"
"新北市新莊區","立志里","1140","746032","654","449","225","852","734.07","112.17"
"新北市新莊區","中誠里","623","433233","695","435","218","782","957.64","137.71"
"新北市新莊區","自立里","1523","1056123","693","448","236","830","875.96","126.32"
"新北市新莊區","自強里","651","332726","511","353","181","630","572.08","111.93"
"新北市新莊區","幸福里","1214","736719","607","402","207","742","758.36","124.97"
"新北市新莊區","仁愛里","729","448511","615","405","211","738","766.99","124.66"
"新北市新莊區","信義里","1593","1089059","684","427","216","857","815.03","119.22"
"新北市新莊區","龍鳳里","3677","3414306","929","605","282","1213","1179.13","126.99"
"新北市新莊區","民安里","1859","1291428","695","451","229","842","823.19","118.50"
"新北市新莊區","光華里","2144","1413323","659","441","224","821","853.82","129.52"
"新北市新莊區","富國里","659","398740","605","430","226","741","669.96","110.73"
"新北市新莊區","裕民里","1898","1306449","688","422","222","793","1057.98","153.70"
"新北市新莊區","南港里","1662","1065859","641","442","224","781","703.62","109.72"
"新北市新莊區","萬安里","1134","680804","600","408","226","774","617.46","102.85"
"新北市新莊區","八德里","897","533703","595","400","210","719","672.25","112.99"
"新北市新莊區","民本里","811","436893","539","395","198","679","569.13","105.65"
"新北市新莊區","光榮里","1292","845829","655","446","232","814","738.59","112.82"
"新北市新莊區","光明里","1451","971611","670","441","240","846","750.67","112.10"
"新北市新莊區","合鳳里","1277","718847","563","375","192","709","612.11","108.74"
"新北市新莊區","雙鳳里","4009","3782962","944","599","281","1196","1210.22","128.25"
"新北市新莊區","和平里","1512","989750","655","439","229","816","734.55","112.21"
"新北市新莊區","自信里","742","558304","752","432","228","946","1148.54","152.64"
"新北市新莊區","全泰里","1604","1374001","857","531","257","1114","979.68","114.37"
"新北市新莊區","立泰里","1657","1402934","847","491","236","1034","1513.90","178.81"
"新北市新莊區","立基里","2093","1867092","892","528","247","1111","1226.75","137.52"
"新北市新莊區","中宏里","1196","873472","730","477","248","923","812.39","111.24"
"新北市新莊區","中全里","982","600652","612","426","225","774","834.56","136.44"
"新北市新莊區","中華里","945","843996","893","568","268","1137","1019.04","114.10"
"新北市新莊區","中隆里","1847","1832888","992","585","273","1239","1215.55","122.49"
"新北市新莊區","中原里","5072","5630021","1110","629","280","1331","1587.02","142.97"
"新北市新莊區","中信里","2703","2144594","793","492","249","980","975.40","122.94"
"新北市新莊區","仁義里","1039","651842","627","390","203","769","764.11","121.79"
"新北市新莊區","建福里","824","487384","591","434","213","745","660.22","111.62"
"新北市新莊區","四維里","1264","696423","551","388","197","690","583.90","105.98"
"新北市新莊區","文聖里","1150","1027141","893","580","286","1098","1029.97","115.32"
"新北市新莊區","福營里","844","644697","764","464","235","822","1069.02","139.95"
"新北市新莊區","後德里","1055","831137","788","513","238","973","951.68","120.80"
"新北市新莊區","建安里","2250","1618498","719","470","229","890","824.47","114.62"
"新北市新莊區","龍安里","666","388739","584","393","210","706","707.39","121.19"
"新北市新莊區","昌平里","3538","4359145","1232","736","329","1599","1575.73","127.89"
"新北市新莊區","昌明里","1132","805849","712","440","220","890","824.19","115.78"
"新北市新莊區","成德里","1475","931239","631","426","219","806","727.40","115.21"
"新北市新莊區","福興里","2049","1491304","728","467","228","847","905.48","124.41"
"新北市新莊區","昌信里","1286","1143213","889","540","259","1124","1052.35","118.38"
"新北市新莊區","昌隆里","1543","1301473","843","519","252","1044","1101.97","130.65"
"新北市新莊區","中平里","3283","3118243","950","599","284","1237","1112.09","117.09"
"新北市新莊區","立廷里","4334","4783557","1104","698","328","1437","1338.53","121.27"
"新北市新莊區","泰豐里","781","560226","717","461","233","921","795.02","110.83"
"新北市新莊區","富民里","1252","758348","606","424","228","758","624.43","103.09"
"新北市新莊區","龍福里","718","453909","632","449","212","843","641.39","101.46"
"新北市新莊區","祥鳳里","748","483626","647","442","226","800","715.77","110.71"
"新北市新莊區","民全里","1222","803767","658","442","225","845","729.71","110.94"
"新北市新莊區","民有里","1287","860189","668","446","227","842","770.77","115.32"
"新北市新莊區","光正里","1337","917706","686","434","215","814","855.73","124.67"
"新北市新莊區","光和里","806","447040","555","406","198","707","594.28","107.15"
"新北市新莊區","其他","2","669","335","335","276","394","166.59","49.79"
"新北市新莊區","合計","131551","107839416","820","496","243","996","1090.01","132.97"
"新北市林口區","東林里","1167","811338","695","428","235","745","1166.89","167.84"
"新北市林口區","林口里","1701","1222214","719","443","212","841","1003.22","139.62"
"新北市林口區","西林里","3766","4009785","1065","582","276","1243","1621.94","152.33"
"新北市林口區","湖北里","425","312502","735","427","217","860","941.96","128.11"
"新北市林口區","菁湖里","1420","1499571","1056","581","269","1253","1520.49","143.98"
"新北市林口區","湖南里","9584","12807512","1336","807","350","1695","1775.50","132.86"
"新北市林口區","南勢里","10725","16525877","1541","960","406","1994","2058.39","133.59"
"新北市林口區","頂福里","293","192789","658","410","219","768","923.45","140.35"
"新北市林口區","下福里","400","261673","654","421","206","788","977.35","149.40"
"新北市林口區","嘉寶里","258","158538","614","384","186","753","824.10","134.11"
"新北市林口區","瑞平里","225","133970","595","427","222","685","739.34","124.17"
"新北市林口區","太平里","469","303931","648","419","238","755","782.92","120.81"
"新北市林口區","中湖里","1755","1590209","906","576","298","1134","1079.09","119.09"
"新北市林口區","東勢里","2403","2112377","879","523","242","1047","1257.03","143.00"
"新北市林口區","仁愛里","2494","3045936","1221","682","296","1533","1639.98","134.28"
"新北市林口區","麗林里","3099","3487198","1125","642","291","1406","1457.64","129.54"
"新北市林口區","麗園里","1364","1306487","958","479","230","963","2660.71","277.78"
"新北市林口區","其他","1","99","99","99","99","99","0.00","0.00"
"新北市林口區","合計","41549","49782005","1198","675","303","1478","1740.19","145.24"
"新北市五股區","興珍里","1518","1070194","705","412","199","801","1188.00","168.51"
"新北市五股區","更寮里","308","197870","642","418","193","743","862.99","134.33"
"新北市五股區","集福里","1105","655871","594","438","214","761","596.19","100.45"
"新北市五股區","觀音里","298","176678","593","400","195","723","700.90","118.22"
"新北市五股區","成州里","1692","1072601","634","412","207","767","824.08","130.00"
"新北市五股區","五股里","1172","765585","653","409","202","744","926.58","141.85"
"新北市五股區","五龍里","356","207319","582","406","200","736","736.03","126.39"
"新北市五股區","德音里","1825","1505283","825","466","228","902","1643.82","199.30"
"新北市五股區","貿商里","894","625720","700","446","206","849","845.31","120.77"
"新北市五股區","陸一里","717","490897","685","428","215","849","821.72","120.02"
"新北市五股區","成功里","2821","1923526","682","489","247","879","807.56","118.43"
"新北市五股區","五福里","1032","582615","565","382","201","676","697.30","123.51"
"新北市五股區","成德里","920","605878","659","457","231","851","693.49","105.30"
"新北市五股區","德泰里","1406","948287","674","425","208","808","1137.43","168.64"
"新北市五股區","六福里","1194","710032","595","397","201","742","659.34","110.87"
"新北市五股區","集賢里","1291","705771","547","404","202","707","541.30","99.02"
"新北市五股區","民義里","1117","733378","657","425","214","819","815.50","124.21"
"新北市五股區","成泰里","4125","3363472","815","547","260","1052","922.87","113.18"
"新北市五股區","水碓里","2613","1786438","684","440","220","819","821.70","120.19"
"新北市五股區","福德里","1069","716572","670","444","239","880","747.08","111.45"
"新北市五股區","其他","3","1761","587","545","503","650","150.97","25.72"
"新北市五股區","合計","27476","18845748","686","445","221","843","926.70","135.11"
"新北市蘆洲區","樓厝里","2170","1707394","787","501","260","970","959.31","121.92"
"新北市蘆洲區","保和里","797","591745","742","485","229","953","854.41","115.08"
"新北市蘆洲區","得勝里","954","622123","652","430","219","772","853.78","130.92"
"新北市蘆洲區","仁復里","577","449042","778","461","209","903","1208.80","155.33"
"新北市蘆洲區","溪墘里","896","633899","707","463","245","853","828.28","117.07"
"新北市蘆洲區","中路里","1264","834817","660","435","217","832","836.33","126.63"
"新北市蘆洲區","正義里","4934","5801066","1176","725","320","1484","1609.59","136.90"
"新北市蘆洲區","水湳里","3476","2740503","788","474","238","991","1017.83","129.10"
"新北市蘆洲區","保佑里","1082","722329","668","418","198","852","827.58","123.97"
"新北市蘆洲區","樹德里","955","619831","649","421","200","811","826.19","127.29"
"新北市蘆洲區","中原里","1850","1541291","833","488","235","998","1116.72","134.04"
"新北市蘆洲區","恆德里","1900","1530469","806","466","234","949","1107.49","137.49"
"新北市蘆洲區","光華里","1617","1179742","730","450","225","910","881.67","120.84"
"新北市蘆洲區","鷺江里","1674","1368479","817","490","247","945","1308.82","160.10"
"新北市蘆洲區","南港里","1762","1154100","655","433","219","808","744.48","113.66"
"新北市蘆洲區","永樂里","1934","1350219","698","442","224","833","832.08","119.18"
"新北市蘆洲區","永康里","2029","1357894","669","442","215","872","723.88","108.16"
"新北市蘆洲區","信義里","1086","737865","679","449","236","856","761.52","112.08"
"新北市蘆洲區","玉清里","1878","1530152","815","499","240","1005","1085.28","133.20"
"新北市蘆洲區","復興里","1009","615946","610","406","216","747","682.66","111.83"
"新北市蘆洲區","水河里","2867","1853275","646","426","213","830","744.25","115.13"
"新北市蘆洲區","仁愛里","1692","1187088","702","446","222","839","863.57","123.09"
"新北市蘆洲區","忠義里","983","668657","680","427","214","790","886.30","130.30"
"新北市蘆洲區","九芎里","1645","1024307","623","426","213","765","764.76","122.82"
"新北市蘆洲區","中華里","924","667258","722","436","218","862","1009.13","139.74"
"新北市蘆洲區","得仁里","927","598911","646","435","226","766","744.19","115.19"
"新北市蘆洲區","仁德里","1627","1154889","710","433","223","863","893.88","125.93"
"新北市蘆洲區","仁義里","1344","1173459","873","492","226","1006","1157.03","132.52"
"新北市蘆洲區","光明里","1392","993166","713","472","229","890","806.95","113.10"
"新北市蘆洲區","保新里","1267","1040917","822","475","222","968","1059.22","128.93"
"新北市蘆洲區","長安里","1455","857374","589","399","208","720","631.28","107.13"
"新北市蘆洲區","民和里","748","457153","611","429","212","768","645.82","105.67"
"新北市蘆洲區","忠孝里","751","465519","620","455","226","777","674.81","108.86"
"新北市蘆洲區","福安里","1017","703142","691","416","202","875","938.99","135.81"
"新北市蘆洲區","永安里","1538","1021014","664","442","234","820","752.65","113.37"
"新北市蘆洲區","延平里","1250","828724","663","433","212","809","1001.03","150.99"
"新北市蘆洲區","成功里","2301","1489799","647","441","221","823","708.89","109.49"
"新北市蘆洲區","永德里","1400","875692","625","446","225","776","752.30","120.27"
"新北市蘆洲區","其他","93","43307","466","343","239","596","369.18","79.28"
"新北市蘆洲區","合計","59065","44192556","748","464","229","913","989.07","132.19"
"新北市三重區","二重里","484","291534","602","431","236","748","598.63","99.38"
"新北市三重區","五谷里","705","536334","761","490","231","943","967.33","127.15"
"新北市三重區","德厚里","184","175855","956","638","289","1283","972.17","101.72"
"新北市三重區","福祉里","2039","1874704","919","573","264","1171","1124.51","122.31"
"新北市三重區","過田里","2133","1747166","819","475","237","982","1203.48","146.92"
"新北市三重區","溪美里","2722","2121766","779","487","246","985","892.46","114.49"
"新北市三重區","厚德里","1066","848336","796","482","244","1026","912.90","114.71"
"新北市三重區","慈化里","680","450185","662","427","224","822","742.67","112.18"
"新北市三重區","永安里","1164","827685","711","452","222","855","826.04","116.17"
