"縣市別","村里","納稅單位(戶)","綜合所得總額","平均數","中位數","第一分位數","第三分位數","標準差","變異係數"
"新北市新莊區","海山里","1824","1376775","755","457","221","908","898.85","119.08"
"新北市新莊區","全安里","1421","1193282","840","474","249","976","1278.42","152.24"
"新北市新莊區","文衡里","727","649654","894","550","267","1109","1083.20","121.22"
"新北市新莊區","興漢里","1063","844342","794","511","257","965","1042.33","131.23"
"新北市新莊區","榮和里","1175","1222429","1040","551","266","1264","1494.27","143.63"
"新北市新莊區","文德里","585","521653","892","553","256","1123","1144.45","128.34"
"新北市新莊區","文明里","541","463102","856","474","230","981","1246.14","145.58"
"新北市新莊區","中港里","2030","1688683","832","542","264","1024","981.35","117.97"
"新北市新莊區","頭前里","4524","6483275","1433","842","358","1837","1845.98","128.81"
"新北市新莊區","丹鳳里","2877","2157093","750","490","248","946","841.02","112.17"
"新北市新莊區","西盛里","4782","3942720","824","549","275","1030","963.27","116.83"
"新北市新莊區","瓊林里","1483","994536","671","445","220","805","808.18","120.51"
"新北市新莊區","營盤里","616","431683","701","467","236","943","718.35","102.51"
"新北市新莊區","後港里","2470","1660851","672","444","238","835","783.86","116.57"
"新北市新莊區","國泰里","460","318346","692","423","212","849","900.07","130.06"
"新北市新莊區","立人里","701","752111","1073","598","289","1317","1476.15","137.58"
"新北市新莊區","恆安里","1417","1129314","797","497","253","1044","887.00","111.30"
"新北市新莊區","思源里","1729","1287954","745","491","233","911","857.35","115.09"
"新北市新莊區","化成里","1485","1557048","1049","562","261","1276","1542.40","147.10"
"新北市新莊區","福基里","2486","3152252","1268","745","346","1606","1526.19","120.36"
"新北市新莊區","思賢里","1362","1090406","801","501","253","982","981.28","122.57"
"新北市新莊區","中美里","1974","1627687","825","514","255","1032","996.10","120.80"
"新北市新莊區","中和里","1418","1070865","755","438","228","892","1107.55","146.66"
"新北市新莊區","中泰里","1268","812479","641","444","221","839","677.06","105.67"
"新北市新莊區","立言里","1635","1310300","801","484","238","951","1328.45","165.77"
"新北市新莊區","立功里","1049","629732","600","396","210","802","628.61","104.71"
"新北市新莊區","立德里","859","710383","827","499","240","1040","1012.14","122.39"
"新北市新莊區","豐年里","1109","705263","636","415","215","786","740.50","116.44"
"新北市新莊區","忠孝里","1863","1678119","901","551","274","1095","1135.15","126.02"
"新北市新莊區","立志里","1173","781139","666","453","222","849","718.18","107.85"
"新北市新莊區","中誠里","610","444159","728","458","235","841","997.43","136.99"
"新北市新莊區","自立里","1573","1117350","710","447","229","850","951.93","134.01"
"新北市新莊區","自強里","654","354403","542","383","185","687","617.13","113.88"
"新北市新莊區","幸福里","1176","735369","625","433","218","767","724.34","115.84"
"新北市新莊區","仁愛里","726","438198","604","416","214","738","721.33","119.51"
"新北市新莊區","信義里","1635","1149557","703","448","230","872","817.31","116.25"
"新北市新莊區","龍鳳里","3807","3546600","932","605","290","1240","1048.13","112.51"
"新北市新莊區","民安里","1931","1357190","703","477","238","851","841.21","119.69"
"新北市新莊區","光華里","2219","1454118","655","451","236","831","784.98","119.79"
"新北市新莊區","富國里","678","422623","623","436","227","769","684.80","109.86"
"新北市新莊區","裕民里","1997","1393184","698","421","210","779","1551.13","222.34"
"新北市新莊區","南港里","1722","1141757","663","439","233","799","812.58","122.55"
"新北市新莊區","萬安里","1159","716556","618","452","251","794","607.14","98.20"
"新北市新莊區","八德里","926","546762","590","408","213","746","657.47","111.35"
"新北市新莊區","民本里","824","464820","564","407","205","696","617.08","109.39"
"新北市新莊區","光榮里","1349","909297","674","454","232","839","795.99","118.09"
"新北市新莊區","光明里","1543","1046129","678","458","240","856","707.38","104.34"
