"學年度","學制","行政區","學校名稱","基本學區原文","自由學區原文","備註原文","頁碼"
"115","國小","板橋區","板橋國小","留侯里、流芳里、
赤松里、黃石里、
挹秀里、自強里、
光華里、新興里、
民權里、民安里、
建國里","一、湳興里【板
橋、大觀、後
埔國小自由
學區】
二、漢生里【板
橋、文德國小
自由學區】
三、光榮里、社後
里(1-3鄰)
【板橋、國光
國小自由學
區】","◎自立里可經里
辦公處證明後
請板橋國小考
量配合就讀。
◎社後里5-7鄰
自110學年度
起每年開放
10名學童經
里辦公處證明
後可申請就讀
板橋國小，惟
須符合額滿學
校之相關申請
程序。","2"
"115","國小","板橋區","後埔國小","廣德里、福德里(1
-7、26-28鄰)、
仁愛里、福星里、
大豐里、華興里、
鄉雲里、華貴里、
華福里、華東里(1
-6、19-21鄰)、
景星里","一、重慶里(5-
13、17-19、
21-25、30-
31、33-35
鄰)【後埔、
重慶國小自
由學區】
二、後埔里(1-
13鄰)【後
埔、實踐國小
自由學區】
三、湳興里【後
埔、大觀、板
橋國小自由
學區】","◎後埔里(14-17
鄰)可經里辦
公處證明後請
後埔國小考量
配合就讀。
◎華東里105年
11月進行里鄰
整編，原第4
鄰改劃為第
20、21鄰，原
第5鄰改劃為
第6鄰，原第6
鄰併入第8、10
鄰。","2"
"115","國小","板橋區","新埔國小","忠誠里、陽明里、
宏翠里(1鄰除
外)、仁翠里、新埔
里、新翠里、朝陽
里、吉翠里、滿翠
里、明翠里、介壽
里、百壽里、新民
里(2-9、26鄰)、
文化里(1-6鄰)","一、文化里(7-
17鄰)【新
埔、莒光國小
自由學區】
二、聯翠里【新
埔、江翠國小
自由學區】
三、宏翠里1鄰【新
埔、文德國小
自由學區】
四、文德里12鄰
【新埔、文德
國小自由學
區】
五、聯翠里【江
翠、新埔、莒
光國小自由
學區】","◎文化里(1-6
鄰)可經里辦公
處證明後請莒
聯翠里變更為【江
翠、新埔、莒光國
小自由學區】
調整備註
光國小考量配
合就讀。(5名
為限)
◎介壽里、百壽里
有兄姊在莒光
國小就讀者，可
選擇莒光國小
就讀。
◎文德里12鄰自
112學年度起調
整為文德國小
及新埔國小自
由學區，惟須符
合額滿學校之
相關申請程序。","2"
"115","國小","板橋區","埔墘國小","埔墘里(18-23
鄰)、雙玉里、振
興里、振義里、廣
新里、玉光里、光
仁里、西安里、東
丘里、民生里、九
如里(12、13鄰除
外)、正泰里、港
嘴里(8-17、21、
25鄰)","一、莊敬里【埔
墘、莒光國小
自由學區】
二、埤墘里【埔
墘、莒光國小
自由學區】","","3"
"115","國小","板橋區","海山國小","一、民族里、深丘
里、香丘里、
海山里、長安
里、東安里、
福丘里(8-19
鄰)、九如里
(12、13鄰)、
新民里(1、10
-25鄰)
二、中和區瑞穗里
(1-6鄰)、
員山里(11-
22、25-35、
37-42鄰)","","調整備註","3"
"115","國小","板橋區","江翠國小","江翠里、純翠里、
柏翠里、文翠里、
溪頭里、松翠里(1
-8、14-16鄰)","一、青翠里、松翠
里(9-13、
17、18鄰)【江
翠、文聖國小
自由學區】
二、聯翠里【江
翠、新埔、莒
光國小自由
學區】","聯翠里變更為【江
翠、新埔、莒光國
小自由學區】","4"
"115","國小","板橋區","莒光國小","永安里、華翠里、
莒光里、忠翠里、
華江里","一、文化里(7-
17鄰)【莒
光、新埔國小
自由學區】
二、莊敬里【莒
光、埔墘國小
自由學區】
三、港嘴里(1-
3、18、22-
24鄰)【莒
光、文聖國小
自由學區】
四、埤墘里【莒
光、埔墘國小
自由學區】
五、聯翠里【江
翠、新埔、莒
光國小自由
學區】","◎介壽里、百壽里
有兄姊在莒光
國小就讀者，可
選擇莒光國小
就讀。
◎文化里(1-6
鄰)可經里辦公
處證明後請莒
光國小考量配
合就讀。(5名
為限)
聯翠里變更為【江
翠、新埔、莒光國
小自由學區】","4"
"115","國小","板橋區","國光國小","香社里、香雅里、
社後里(4-28
鄰)、中正里、港
德里(1-19、21-
23鄰)、國光里(1
-16鄰)、自立里","一、光榮里、社後
里(1-3鄰)
【國光、板橋
國小自由學
區】
二、港尾里【國
光、文德國小
自由學區】","◎港德里可經里
辦公處證明後
請文德國小考
調整備註
量配合就讀。
◎自立里可經里
辦公處證明後
請板橋國小考
量配合就讀。
◎國光里(1-16
鄰)可經里辦公
處證明後請文
德國小考量配
合就讀(5名為
限)；中正里
(12-18、25、27
鄰)自112學年
度起及中正里
24鄰自114學
年度起可經里
辦公處證明後
請文德國小考
量配合就讀(10
名為限)。
◎社後里5-7鄰
自110學年度
起每年開放10
名學童經里辦
公處證明後可
申請就讀板橋
國小，惟須符合
額滿學校之相
關申請程序。","4"
"115","國小","板橋區","中山國小","大安里、福安里、
聚安里、龍安里、
中山里、復興里","","","5"
"115","國小","板橋區","沙崙國小","溪北里、崑崙里、
成和里","","◎108學年度調
整過渡期間，
溪洲里、溪福
調整備註
里、堂春里學
生仍可就讀沙
崙國小。
◎109學年度起
溪洲里、溪福
里、堂春里正
式調整為溪
洲國小基本
學區，並於
109學年度學
區調整會議
中研議開放
上述3里每里
5名學童申請
就讀沙崙國
小之相關措
施。
◎110學年度起
取消溪洲
里、溪福里與
堂春里每里5
位名額就讀
沙崙國小。","5"
