"學年度","學制","行政區","學校名稱","基本學區原文","自由學區原文","備註原文","頁碼"
"115","國中","板橋區","板橋國中","國光、自強、建國、
自立、光華(除1-11鄰)、
光榮、港尾、中正、
香社、香雅、社後、港德
(除7、10、14、16、20、
24-29鄰)、金華(1-6、
11、17、22、23鄰)等里","一、港德(7、10、14、16、20、
24-29鄰)、新生等里(板橋國
中、新埔國中自由學區)
二、民權里(板橋國中、中山國中
自由學區)
三、湳興(1-5、22鄰)、光華(1-
11鄰)等里(板橋國中、大觀
國中自由學區)","","2"
"115","國中","板橋區","中山國中","民安、廣新、玉光、
光仁、新民、西安、
漢生、百壽、介壽等里","一、香丘里(海山高中國中部、中
山國中自由學區)
二、忠誠、公舘等里(中山國中、
新埔國中自由學區)
三、華江、莊敬、埤墘、永安等
里(中山國中、江翠國中自由
學區)
四、民權里(板橋國中、中山國中
自由學區)
五、黃石、挹秀、赤松、流芳、
留侯(除7、9鄰外)等里(忠
孝國中、中山國中自由學區)
六、留侯里(7、9鄰)(忠孝國中、
中山國中、大觀國中自由學
區)
七、雙玉里(海山高中國中部、光
復高中國中部、中山國中自
由學區)","","2"
"115","國中","板橋區","新埔國中","幸福、文德、新翠、
朝陽、吉翠、德翠、
新海、新埔、滿翠、
明翠、陽明、宏翠、
仁翠、金華(7-10、12-
16、18-21鄰)等里","一、港德(7、10、14、16、20、
24-29鄰)、新生等里(板橋國
中、新埔國中自由學區)
二、忠誠、公舘等里(中山、國中
新埔國中自由學區)
三、中山國中基本學區各里","","2"
"115","國中","板橋區","江翠國中","嵐翠、文聖、華翠、
莒光、松翠、聯翠、
文化、江翠、純翠、
溪頭、柏翠、青翠、
懷翠、忠翠、松柏、
文翠等里","一、龍翠里(光復高中國中部、江
翠國中自由學區)
二、華江、莊敬、埤墘、永安等
里(中山國中、江翠國中自由
學區)
三、中山國中基本學區各里","","2"
"115","國中","板橋區","海山高中國中部","福祿、民族、海山、
東丘、民生、長安、
東安、深丘、國泰(7-15
鄰)、福丘等里","一、香丘里(海山高中國中部、
中山國中自由學區)
二、九如、正泰等里(海山高中
國中部、光復高中國中部自
由學區)
三、雙玉里(海山高中國中部、
光復高中國中部、中山國中
自由學區)
四、中和區瑞穗里(1-6鄰)(自強
國中、積穗國中、海山高中
國中部自由學區)
五、中和區員山里(11-22鄰、
25-35鄰、37-42鄰)(積穗
國中、海山高中國中部自由
學區)","","3"
"115","國中","板橋區","光復高中國中部","港嘴、振義、振興、
光復、埔墘、富貴、
長壽、居仁、福壽、
福翠等里","一、九如、正泰等里(海山高中國
中部、光復高中國中部自由學
區)
二、龍翠里(光復高中國中部、江
翠國中自由學區)
三、中和區中原里(5-14、18-20
鄰)(光復高中國中部、積穗國
中自由學區)
四、雙玉里(海山高中國中部、光
復高中國中部、中山國中自由
學區)
五、中和區各里","新北市114
年轄里編組
調整案
(115.07.01)
實施後之學
區劃分詳見
附件P.26","3"
"115","國中","板橋區","重慶國中","仁愛、和平、廣德、
重慶、大豐、廣福、
五權、華德、信義、華東
(除1-6、19-21鄰)等里","一、中和區清穗、明德、壽德等
里(重慶國中、自強國中自由
學區)
二、鄉雲里(重慶國中、忠孝國中
自由學區)
三、土城區清水高中國中部及中
正國中基本學區各里
四、土城區清溪里(1-4鄰、11-
43、46-53鄰)(清水高中國中
部、中正國中、重慶國中自由
學區)","","3"
"115","國中","板橋區","忠孝國中","華貴、華福、華興、
景星、新興、後埔、
福星、福德、國泰(1-6
鄰)、華東(1-6、19-21鄰)
等里","一、鄉雲里(重慶國中、忠孝國中
自由學區)
二、黃石、挹秀、赤松、流芳、留
侯(除7、9鄰外)等里(忠孝國
中、中山國中自由學區)
三、留侯(7、9鄰)(忠孝、中山、
大觀國中自由學區)
四、湳興里(6-21、23-25鄰)(大觀
國中、忠孝國中自由學區)","","4"
"115","國中","板橋區","大觀國中","華中、大觀、歡園、
浮洲、僑中、中山、
復興、大安、福安、
聚安、龍安等里","一、樹林高中國中部、土城區中
正國中與清水高中國中部基本
學區各里
二、湳興(1-5、22鄰)、光華(1-
11鄰)等里(板橋國中、大觀
國中自由學區)
三、湳興里(6-21、23-25鄰)(大
觀國中、忠孝國中自由學區)
四、留侯(7、9鄰)(忠孝國中、中
山、大觀國中自由學區)","","4"
"115","國中","板橋區","溪崑國中","一、溪北、崑崙、成和、
堂春等里
二、樹林區文林、保安、
圳福、潭底(除1-
13、33鄰)等里","一、樹林區圳安、圳民、潭底(1-
13、33鄰)等里(溪崑國中、
三多國中自由學區)
二、新莊區西盛里(12、14-18、
25-29鄰)(溪崑國中、福營國
中自由學區)
三、新莊區西盛里(10、24鄰)(丹
鳳高中國中部、溪崑國中自由
學區)
四、板橋區溪洲、溪福等里(樹林
高中國中部、溪崑國中自由學
區)","","4"
