"學年度","學制","行政區","學校名稱","學區類型","村里","鄰里備註","資料來源"
"115","國小","板橋區","板橋國小","基本學區","留侯里","","school/115_elementary_zones.pdf"
"115","國小","板橋區","板橋國小","基本學區","流芳里","","school/115_elementary_zones.pdf"
"115","國小","板橋區","板橋國小","基本學區","赤松里","","school/115_elementary_zones.pdf"
"115","國小","板橋區","板橋國小","基本學區","黃石里","","school/115_elementary_zones.pdf"
"115","國小","板橋區","板橋國小","基本學區","挹秀里","","school/115_elementary_zones.pdf"
"115","國小","板橋區","板橋國小","基本學區","自強里","","school/115_elementary_zones.pdf"
"115","國小","板橋區","板橋國小","基本學區","光華里","","school/115_elementary_zones.pdf"
"115","國小","板橋區","板橋國小","基本學區","新興里","","school/115_elementary_zones.pdf"
"115","國小","板橋區","板橋國小","基本學區","民權里","","school/115_elementary_zones.pdf"
"115","國小","板橋區","板橋國小","基本學區","民安里","","school/115_elementary_zones.pdf"
"115","國小","板橋區","板橋國小","基本學區","建國里","","school/115_elementary_zones.pdf"
"115","國小","板橋區","板橋國小","自由學區","湳興里","自由學區","school/115_elementary_zones.pdf"
"115","國小","板橋區","板橋國小","自由學區","漢生里","自由學區","school/115_elementary_zones.pdf"
"115","國小","板橋區","板橋國小","自由學區","光榮里","自由學區","school/115_elementary_zones.pdf"
"115","國小","板橋區","板橋國小","自由學區","社後里","(1-3鄰)；自由學區","school/115_elementary_zones.pdf"
"115","國小","板橋區","後埔國小","基本學區","廣德里","","school/115_elementary_zones.pdf"
"115","國小","板橋區","後埔國小","基本學區","福德里","(1-7、26-28鄰)","school/115_elementary_zones.pdf"
"115","國小","板橋區","後埔國小","基本學區","仁愛里","","school/115_elementary_zones.pdf"
"115","國小","板橋區","後埔國小","基本學區","福星里","","school/115_elementary_zones.pdf"
"115","國小","板橋區","後埔國小","基本學區","大豐里","","school/115_elementary_zones.pdf"
"115","國小","板橋區","後埔國小","基本學區","華興里","","school/115_elementary_zones.pdf"
"115","國小","板橋區","後埔國小","基本學區","鄉雲里","","school/115_elementary_zones.pdf"
"115","國小","板橋區","後埔國小","基本學區","華貴里","","school/115_elementary_zones.pdf"
"115","國小","板橋區","後埔國小","基本學區","華福里","","school/115_elementary_zones.pdf"
"115","國小","板橋區","後埔國小","基本學區","華東里","(1-6、19-21鄰)","school/115_elementary_zones.pdf"
"115","國小","板橋區","後埔國小","基本學區","景星里","","school/115_elementary_zones.pdf"
"115","國小","板橋區","後埔國小","自由學區","重慶里","(5-13、17-19、21-25、30-31、33-35鄰)；自由學區","school/115_elementary_zones.pdf"
"115","國小","板橋區","後埔國小","自由學區","後埔里","(1-13鄰)；自由學區","school/115_elementary_zones.pdf"
"115","國小","板橋區","後埔國小","自由學區","湳興里","自由學區","school/115_elementary_zones.pdf"
"115","國小","板橋區","新埔國小","基本學區","忠誠里","","school/115_elementary_zones.pdf"
"115","國小","板橋區","新埔國小","基本學區","陽明里","含除外條件，依原文整里估算","school/115_elementary_zones.pdf"
"115","國小","板橋區","新埔國小","基本學區","宏翠里","(1鄰除外)；含除外條件，依原文整里估算","school/115_elementary_zones.pdf"
"115","國小","板橋區","新埔國小","基本學區","仁翠里","","school/115_elementary_zones.pdf"
"115","國小","板橋區","新埔國小","基本學區","新埔里","","school/115_elementary_zones.pdf"
"115","國小","板橋區","新埔國小","基本學區","新翠里","","school/115_elementary_zones.pdf"
"115","國小","板橋區","新埔國小","基本學區","朝陽里","","school/115_elementary_zones.pdf"
"115","國小","板橋區","新埔國小","基本學區","吉翠里","","school/115_elementary_zones.pdf"
"115","國小","板橋區","新埔國小","基本學區","滿翠里","","school/115_elementary_zones.pdf"
