學年度,學制,行政區,學校名稱,學區類型,村里,鄰里備註,資料來源
114,國中,新店區,文山國中,基本學區,太平里,,https://zh.wikipedia.org/wiki/新北市立文山國民中學
114,國中,新店區,文山國中,基本學區,張南里,,https://zh.wikipedia.org/wiki/新北市立文山國民中學
114,國中,新店區,文山國中,基本學區,廣明里,,https://zh.wikipedia.org/wiki/新北市立文山國民中學
114,國中,新店區,文山國中,基本學區,新店里,,https://zh.wikipedia.org/wiki/新北市立文山國民中學
114,國中,新店區,文山國中,基本學區,文中里,,https://zh.wikipedia.org/wiki/新北市立文山國民中學
114,國中,新店區,文山國中,基本學區,國校里,,https://zh.wikipedia.org/wiki/新北市立文山國民中學
114,國中,新店區,文山國中,基本學區,青潭里,,https://zh.wikipedia.org/wiki/新北市立文山國民中學
114,國中,新店區,文山國中,基本學區,美城里,,https://zh.wikipedia.org/wiki/新北市立文山國民中學
114,國中,新店區,文山國中,基本學區,美潭里,除16-20鄰；整里估算,https://zh.wikipedia.org/wiki/新北市立文山國民中學
114,國中,新店區,文山國中,基本學區,員潭里,,https://zh.wikipedia.org/wiki/新北市立文山國民中學
114,國中,新店區,文山國中,基本學區,雙坑里,,https://zh.wikipedia.org/wiki/新北市立文山國民中學
114,國中,新店區,文山國中,基本學區,粗坑里,,https://zh.wikipedia.org/wiki/新北市立文山國民中學
114,國中,新店區,文山國中,基本學區,屈尺里,,https://zh.wikipedia.org/wiki/新北市立文山國民中學
114,國中,新店區,文山國中,基本學區,龜山里,,https://zh.wikipedia.org/wiki/新北市立文山國民中學
114,國中,新店區,文山國中,基本學區,廣興里,,https://zh.wikipedia.org/wiki/新北市立文山國民中學
114,國中,新店區,文山國中,基本學區,塗潭里,,https://zh.wikipedia.org/wiki/新北市立文山國民中學
114,國中,新店區,文山國中,基本學區,直潭里,,https://zh.wikipedia.org/wiki/新北市立文山國民中學
114,國中,新店區,文山國中,基本學區,文明里,,https://zh.wikipedia.org/wiki/新北市立文山國民中學
114,國中,新店區,文山國中,基本學區,新生里,1-8鄰；整里估算,https://zh.wikipedia.org/wiki/新北市立文山國民中學
114,國中,新店區,文山國中,基本學區,頂城里,1-10鄰；整里估算,https://zh.wikipedia.org/wiki/新北市立文山國民中學
114,國中,新店區,文山國中,基本學區,華城里,,https://zh.wikipedia.org/wiki/新北市立文山國民中學
114,國中,新店區,文山國中,自由學區,中華里,文山、五峰國中自由學區,https://zh.wikipedia.org/wiki/新北市立文山國民中學
114,國中,新店區,文山國中,自由學區,百福里,文山、五峰國中自由學區,https://zh.wikipedia.org/wiki/新北市立文山國民中學
114,國中,新店區,文山國中,自由學區,福民里,文山、五峰國中自由學區,https://zh.wikipedia.org/wiki/新北市立文山國民中學
114,國中,新店區,文山國中,自由學區,中央里,文山、五峰國中自由學區,https://zh.wikipedia.org/wiki/新北市立文山國民中學
114,國中,新店區,文山國中,自由學區,美潭里,16-20鄰；整里估算,https://zh.wikipedia.org/wiki/新北市立文山國民中學
114,國中,新店區,文山國中,自由學區,福德里,文山、五峰國中自由學區,https://zh.wikipedia.org/wiki/新北市立文山國民中學
114,國中,新店區,文山國中,自由學區,中興里,文山、五峰國中自由學區,https://zh.wikipedia.org/wiki/新北市立文山國民中學
114,國中,新店區,文山國中,自由學區,百忍里,文山、五峰國中自由學區,https://zh.wikipedia.org/wiki/新北市立文山國民中學
114,國中,新店區,達觀國中小,基本學區,德安里,18-28鄰；整里估算,https://zh.wikipedia.org/wiki/新北市立達觀國民中小學
114,國中,新店區,達觀國中小,基本學區,小城里,,https://zh.wikipedia.org/wiki/新北市立達觀國民中小學
114,國中,新店區,達觀國中小,基本學區,吉祥里,,https://zh.wikipedia.org/wiki/新北市立達觀國民中小學
114,國中,新店區,達觀國中小,基本學區,玫瑰里,,https://zh.wikipedia.org/wiki/新北市立達觀國民中小學
114,國中,新店區,達觀國中小,基本學區,明城里,,https://zh.wikipedia.org/wiki/新北市立達觀國民中小學
114,國中,新店區,達觀國中小,基本學區,達觀里,,https://zh.wikipedia.org/wiki/新北市立達觀國民中小學
114,國中,新店區,達觀國中小,基本學區,雙城里,,https://zh.wikipedia.org/wiki/新北市立達觀國民中小學
114,國中,新店區,達觀國中小,基本學區,日興里,,https://zh.wikipedia.org/wiki/新北市立達觀國民中小學
114,國中,新店區,達觀國中小,基本學區,香坡里,,https://zh.wikipedia.org/wiki/新北市立達觀國民中小學
114,國小,新店區,安坑國小,基本學區,下城里,,https://zh.wikipedia.org/wiki/新北市新店區安坑國民小學
114,國小,新店區,安坑國小,基本學區,公崙里,,https://zh.wikipedia.org/wiki/新北市新店區安坑國民小學
114,國小,新店區,安坑國小,基本學區,德安里,1-17鄰；整里估算,https://zh.wikipedia.org/wiki/新北市新店區安坑國民小學
114,國小,新店區,安坑國小,基本學區,頂城里,11-18鄰；整里估算,https://zh.wikipedia.org/wiki/新北市新店區安坑國民小學
114,國小,新店區,安坑國小,基本學區,明城里,,https://zh.wikipedia.org/wiki/新北市新店區安坑國民小學
114,國小,新店區,安坑國小,基本學區,安昌里,,https://zh.wikipedia.org/wiki/新北市新店區安坑國民小學
114,國小,新店區,安坑國小,基本學區,達觀里,,https://zh.wikipedia.org/wiki/新北市新店區安坑國民小學
114,國小,新店區,安坑國小,基本學區,柴埕里,25-27鄰除外；整里估算,https://zh.wikipedia.org/wiki/新北市新店區安坑國民小學
114,國小,新店區,安坑國小,自由學區,柴埕里,25-27鄰；整里估算,https://zh.wikipedia.org/wiki/新北市新店區安坑國民小學
114,國小,新店區,安坑國小,自由學區,德安里,18-28鄰；整里估算,https://zh.wikipedia.org/wiki/新北市新店區安坑國民小學
114,國小,新店區,中正國小,基本學區,新德里,,https://zh.wikipedia.org/wiki/新北市新店區中正國民小學
114,國小,新店區,中正國小,基本學區,中央里,,https://zh.wikipedia.org/wiki/新北市新店區中正國民小學
114,國小,新店區,中正國小,基本學區,中正里,,https://zh.wikipedia.org/wiki/新北市新店區中正國民小學
114,國小,新店區,中正國小,基本學區,中華里,,https://zh.wikipedia.org/wiki/新北市新店區中正國民小學
114,國小,新店區,中正國小,基本學區,福民里,,https://zh.wikipedia.org/wiki/新北市新店區中正國民小學
114,國小,新店區,中正國小,基本學區,百忍里,,https://zh.wikipedia.org/wiki/新北市新店區中正國民小學
114,國小,新店區,中正國小,基本學區,百福里,,https://zh.wikipedia.org/wiki/新北市新店區中正國民小學
114,國小,新店區,中正國小,基本學區,新生里,,https://zh.wikipedia.org/wiki/新北市新店區中正國民小學
114,國小,新店區,中正國小,基本學區,福德里,,https://zh.wikipedia.org/wiki/新北市新店區中正國民小學
114,國小,新店區,中正國小,基本學區,中山里,,https://zh.wikipedia.org/wiki/新北市新店區中正國民小學
114,國小,新店區,中正國小,基本學區,和平里,,https://zh.wikipedia.org/wiki/新北市新店區中正國民小學
114,國小,新店區,中正國小,自由學區,中山里,中正、大豐國小自由學區,https://zh.wikipedia.org/wiki/新北市新店區中正國民小學
114,國小,新店區,中正國小,自由學區,和平里,中正、大豐國小自由學區,https://zh.wikipedia.org/wiki/新北市新店區中正國民小學
114,國小,新店區,達觀國中小,基本學區,小城里,,https://zh.wikipedia.org/wiki/新北市立達觀國民中小學
114,國小,新店區,達觀國中小,自由學區,吉祥里,達觀、雙城國小自由學區,https://zh.wikipedia.org/wiki/新北市立達觀國民中小學
114,國小,新店區,達觀國中小,自由學區,玫瑰里,達觀、雙城國小自由學區,https://zh.wikipedia.org/wiki/新北市立達觀國民中小學
114,國小,新店區,達觀國中小,自由學區,德安里,18-28鄰；達觀、安坑國小自由學區；整里估算,https://zh.wikipedia.org/wiki/新北市立達觀國民中小學
114,國小,新店區,達觀國中小,特殊規則,達觀里,里辦公處證明後限額申請,https://zh.wikipedia.org/wiki/新北市立達觀國民中小學
114,國小,新店區,達觀國中小,特殊規則,明城里,里辦公處證明後限額申請,https://zh.wikipedia.org/wiki/新北市立達觀國民中小學
